baseProductCode,name,formattedName,description,modelYear,modelCode,modelFamily,categoryCode,categoryName,parentCategoryCode,parentCategoryName,url,primaryImageThumbnailUrl,navigationImageUrl,badges,keyFeatureBullets,price,priceFormatted,monthlyPrice,monthlyPriceFormatted,priceDisclaimerNumber,tags,specOptions,colorOptions
2021-iron-883,Iron 883,Iron 883<sup>™</sup>,สีดำแบล็คเอาท์ในสไตล์ Stripped-down กับรูปทรงระดับตำนาน,2021,XL883N,SPORTSTER,street-motorcycle,Street,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/iron-883.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-883/2021-iron-883-016/2021-iron-883-016-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-883/2021-iron-883-motorcycle-nav.jpg,,,516000," ฿516,000",0,,1,,,"[{'productCode': '2021-iron-883-016', 'colorCode': '016', 'colorName': 'Black Denim', 'displayColorName': 'Black Denim', 'defaultColor': False, 'hex1': '#2a2c2b', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-883/2021-iron-883-016/2021-iron-883-016-motorcycle.jpg', 'basePrice': 516000, 'basePriceFormatted': ' ฿516,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-iron-883-e79', 'colorCode': 'e79', 'colorName': 'River Rock Gray Denim', 'displayColorName': 'River Rock Gray Denim', 'defaultColor': False, 'hex1': '#4e443b', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-883/2021-iron-883-e79/2021-iron-883-e79-motorcycle.jpg', 'basePrice': 516000, 'basePriceFormatted': ' ฿516,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-iron-883-f24', 'colorCode': 'f24', 'colorName': 'Deadwood Green', 'displayColorName': 'Deadwood Green', 'defaultColor': True, 'hex1': '#363727', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-883/2021-iron-883-f24/2021-iron-883-f24-motorcycle.jpg', 'basePrice': 516000, 'basePriceFormatted': ' ฿516,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-iron-883-f32', 'colorCode': 'f32', 'colorName': 'Snake Venom', 'displayColorName': 'Snake Venom', 'defaultColor': False, 'hex1': '#0d1810', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-883/2021-iron-883-f32/2021-iron-883-f32-motorcycle.jpg', 'basePrice': 532000, 'basePriceFormatted': ' ฿532,000', 'additionalPrice': 16000, 'additionalPriceFormatted': ' ฿16,000', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-iron-1200,Iron 1200,Iron 1200<sup>™</sup>,รูปทรงแบบช้อปเปอร์ในสีแบล็คเอาท์ มาพร้อมพลังที่เหนือกว่าขีดจำกัดของเมือง,2021,XL1200NS,SPORTSTER,street-motorcycle,Street,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/iron-1200.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-1200/2021-iron-1200-010/2021-iron-1200-010-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-1200/2021-iron-1200-motorcycle-nav.jpg,,,579000," ฿579,000",0,,1,,,"[{'productCode': '2021-iron-1200-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-1200/2021-iron-1200-010/2021-iron-1200-010-motorcycle.jpg', 'basePrice': 579000, 'basePriceFormatted': ' ฿579,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-iron-1200-016', 'colorCode': '016', 'colorName': 'Black Denim', 'displayColorName': 'Black Denim', 'defaultColor': False, 'hex1': '#2a2c2b', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-1200/2021-iron-1200-016/2021-iron-1200-016-motorcycle.jpg', 'basePrice': 586000, 'basePriceFormatted': ' ฿586,000', 'additionalPrice': 7000, 'additionalPriceFormatted': ' ฿7,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-iron-1200-e81', 'colorCode': 'e81', 'colorName': 'Billiard Red', 'displayColorName': 'Billiard Red', 'defaultColor': True, 'hex1': '#850005', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-1200/2021-iron-1200-e81/2021-iron-1200-e81-motorcycle.jpg', 'basePrice': 586000, 'basePriceFormatted': ' ฿586,000', 'additionalPrice': 7000, 'additionalPriceFormatted': ' ฿7,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-iron-1200-e85', 'colorCode': 'e85', 'colorName': 'Stone Washed White Pearl', 'displayColorName': 'Stone Washed White Pearl', 'defaultColor': False, 'hex1': '#ececec', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-iron-1200/2021-iron-1200-e85/2021-iron-1200-e85-motorcycle.jpg', 'basePrice': 586000, 'basePriceFormatted': ' ฿586,000', 'additionalPrice': 7000, 'additionalPriceFormatted': ' ฿7,000', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-forty-eight,Forty-Eight,Forty-Eight<sup>™</sup>,ยางล้อโตในสไตล์หนักแน่นทรงพลังพร้อมถังน้ำมันทรงถั่วที่เป็นเอกลักษณ์และท่วงท่าเตี้ยล่ำน่าเกรงขาม,2021,XL1200X,SPORTSTER,street-motorcycle,Street,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/forty-eight.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-forty-eight/2021-forty-eight-e79/2021-forty-eight-e79-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-forty-eight/2021-forty-eight-motorcycle-nav.jpg,,,639000," ฿639,000",0,,1,,,"[{'productCode': '2021-forty-eight-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-forty-eight/2021-forty-eight-010/2021-forty-eight-010-motorcycle.jpg', 'basePrice': 639000, 'basePriceFormatted': ' ฿639,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-forty-eight-f18', 'colorCode': 'f18', 'colorName': 'Billiard Teal', 'displayColorName': 'Billiard Teal', 'defaultColor': True, 'hex1': '#04303d', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-forty-eight/2021-forty-eight-f18/2021-forty-eight-f18-motorcycle.jpg', 'basePrice': 646000, 'basePriceFormatted': ' ฿646,000', 'additionalPrice': 7000, 'additionalPriceFormatted': ' ฿7,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-forty-eight-f20', 'colorCode': 'f20', 'colorName': 'Midnight Crimson', 'displayColorName': 'Midnight Crimson', 'defaultColor': False, 'hex1': '#2f0d0e', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-forty-eight/2021-forty-eight-f20/2021-forty-eight-f20-motorcycle.jpg', 'basePrice': 646000, 'basePriceFormatted': ' ฿646,000', 'additionalPrice': 7000, 'additionalPriceFormatted': ' ฿7,000', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-softail-standard,Softail Standard,Softail<sup>™</sup> Standard,สไตล์บ็อบเบอร์ Stripped-Down แบบดิบๆ ผืนผ้าใบว่างเปล่าที่รอการคัสตอม,2021,FXST,SOFTAIL,cruiser-motorcycle,Cruiser,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/softail-standard.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-softail-standard/2021-softail-standard-010/2021-softail-standard-010-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-softail-standard/2021-softail-standard-motorcycle-nav.jpg,,,769000," ฿769,000",0,,1,,,"[{'productCode': '2021-softail-standard-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': True, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-softail-standard/2021-softail-standard-010/2021-softail-standard-010-motorcycle.jpg', 'basePrice': 769000, 'basePriceFormatted': ' ฿769,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-street-bob-114,Street Bob,Street Bob<sup>™</sup>,ห้าวหาญกับสไตล์บ็อบเบอร์แบบ Stripped-down ในรูปโฉมสีดำ,2021,FXBBS,SOFTAIL,cruiser-motorcycle,Cruiser,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/street-bob.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-street-bob-114/2021-street-bob-114-010/2021-street-bob-114-010-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-street-bob-114/2021-street-bob-114-motorcycle-nav.jpg,,,849000," ฿849,000",0,,1,,,"[{'productCode': '2021-street-bob-114-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-street-bob-114/2021-street-bob-114-010/2021-street-bob-114-010-motorcycle.jpg', 'basePrice': 849000, 'basePriceFormatted': ' ฿849,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-street-bob-114-e85', 'colorCode': 'e85', 'colorName': 'Stone Washed White Pearl', 'displayColorName': 'Stone Washed White Pearl', 'defaultColor': False, 'hex1': '#ececec', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-street-bob-114/2021-street-bob-114-e85/2021-street-bob-114-e85-motorcycle.jpg', 'basePrice': 859000, 'basePriceFormatted': ' ฿859,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-street-bob-114-f22', 'colorCode': 'f22', 'colorName': 'Baja Orange', 'displayColorName': 'Baja Orange', 'defaultColor': True, 'hex1': '#aa3a08', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-street-bob-114/2021-street-bob-114-f22/2021-street-bob-114-f22-motorcycle.jpg', 'basePrice': 859000, 'basePriceFormatted': ' ฿859,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-street-bob-114-f24', 'colorCode': 'f24', 'colorName': 'Deadwood Green', 'displayColorName': 'Deadwood Green', 'defaultColor': False, 'hex1': '#363727', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-street-bob-114/2021-street-bob-114-f24/2021-street-bob-114-f24-motorcycle.jpg', 'basePrice': 859000, 'basePriceFormatted': ' ฿859,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-low-rider-s,Low Rider S,Low Rider<sup>™</sup> S,รถครุยเซอร์สีแบล็คเอาท์ในสมรรถนะแบบคัสตอมส่งตรงจากโรงงาน,2021,FXLRS,SOFTAIL,cruiser-motorcycle,Cruiser,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/low-rider-s.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-low-rider-s/2021-low-rider-s-f20/2021-low-rider-s-f20-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-low-rider-s/2021-low-rider-s-motorcycle-nav.jpg,,,989000," ฿989,000",0,,1,,,"[{'productCode': '2021-low-rider-s-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-low-rider-s/2021-low-rider-s-010/2021-low-rider-s-010-motorcycle.jpg', 'basePrice': 989000, 'basePriceFormatted': ' ฿989,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-low-rider-s-f20', 'colorCode': 'f20', 'colorName': 'Midnight Crimson', 'displayColorName': 'Midnight Crimson', 'defaultColor': True, 'hex1': '#2f0d0e', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-low-rider-s/2021-low-rider-s-f20/2021-low-rider-s-f20-motorcycle.jpg', 'basePrice': 999000, 'basePriceFormatted': ' ฿999,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-sport-glide,Sport Glide,Sport Glide<sup>™</sup>,การผสมผสานอย่างดุดันระหว่างความตล่องตัวในแบบครุยเซอร์กับการขับขี่ทางไกลในแบบทัวร์ริ่ง,2021,FLSB,SOFTAIL,cruiser-motorcycle,Cruiser,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/sport-glide.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-e41/2021-sport-glide-e41-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-motorcycle-nav.jpg,,,919000," ฿919,000",0,,1,,,"[{'productCode': '2021-sport-glide-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-010/2021-sport-glide-010-motorcycle.jpg', 'basePrice': 919000, 'basePriceFormatted': ' ฿919,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-sport-glide-010bd', 'colorCode': '010bd', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black w/ Denim Bags', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-010bd/2021-sport-glide-010bd-motorcycle.jpg', 'basePrice': 919000, 'basePriceFormatted': ' ฿919,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-sport-glide-f16', 'colorCode': 'f16', 'colorName': 'Gauntlet Gray Metallic', 'displayColorName': 'Gauntlet Gray Metallic', 'defaultColor': False, 'hex1': '#444348', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-f16/2021-sport-glide-f16-motorcycle.jpg', 'basePrice': 929000, 'basePriceFormatted': ' ฿929,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-sport-glide-e85', 'colorCode': 'e85', 'colorName': 'Stone Washed White Pearl', 'displayColorName': 'Stone Washed White Pearl', 'defaultColor': True, 'hex1': '#ececec', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-e85/2021-sport-glide-e85-motorcycle.jpg', 'basePrice': 929000, 'basePriceFormatted': ' ฿929,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-sport-glide-f32', 'colorCode': 'f32', 'colorName': 'Snake Venom', 'displayColorName': 'Snake Venom', 'defaultColor': False, 'hex1': '#0d1810', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-sport-glide/2021-sport-glide-f32/2021-sport-glide-f32-motorcycle.jpg', 'basePrice': 949000, 'basePriceFormatted': ' ฿949,000', 'additionalPrice': 30000, 'additionalPriceFormatted': ' ฿30,000', 'additionalPriceMessage': None, 'product360Images': None}]"
2021-fat-bob-114,Fat Bob 114,Fat Bob<sup>™</sup> 114,กลืนกินทุกระยะทางด้วยความกระหายในขุมพลัง สร้างมาพร้อมสไตล์และสรรถนะในแบบบึกบึน,2021,FXFBS,SOFTAIL,cruiser-motorcycle,Cruiser,motorcycles,รถมอเตอร์ไซค์,/th/th/motorcycles/fat-bob.html,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-fat-bob-114/2021-fat-bob-114-016/2021-fat-bob-114-016-motorcycle.jpg,https://www.harley-davidson.com/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-fat-bob-114/2021-fat-bob-114-motorcycle-nav.jpg,,,979000," ฿979,000",0,,1,,,"[{'productCode': '2021-fat-bob-114-010', 'colorCode': '010', 'colorName': 'Vivid Black', 'displayColorName': 'Vivid Black', 'defaultColor': False, 'hex1': '#1c1c1c', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-fat-bob-114/2021-fat-bob-114-010/2021-fat-bob-114-010-motorcycle.jpg', 'basePrice': 979000, 'basePriceFormatted': ' ฿979,000', 'additionalPrice': 0, 'additionalPriceFormatted': ' ฿0', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-fat-bob-114-e81', 'colorCode': 'e81', 'colorName': 'Billiard Red', 'displayColorName': 'Billiard Red', 'defaultColor': False, 'hex1': '#850005', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-fat-bob-114/2021-fat-bob-114-e81/2021-fat-bob-114-e81-motorcycle.jpg', 'basePrice': 989000, 'basePriceFormatted': ' ฿989,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}, {'productCode': '2021-fat-bob-114-f26', 'colorCode': 'f26', 'colorName': 'Deadwood Green Denim', 'displayColorName': 'Deadwood Green Denim', 'defaultColor': True, 'hex1': '#3c3e33', 'hex2': '', 'thumbnailImageUrl': '/content/dam/h-d/images/product-images/bikes/motorcycle/2021/2021-fat-bob-114/2021-fat-bob-114-f26/2021-fat-bob-114-f26-motorcycle.jpg', 'basePrice': 989000, 'basePriceFormatted': ' ฿989,000', 'additionalPrice': 10000, 'additionalPriceFormatted': ' ฿10,000', 'additionalPriceMessage': None, 'product360Images': None}]"
